Cp,Points_0,Points_1,Points_2
-0.43023,0.497592,0.0490086,1.25
-0.420153,0.498645,-0.0367823,1.25
-0.425869,0.498645,0.0367823,1.25
-0.418364,0.499398,-0.0245338,1.25
-0.421976,0.499398,0.0245338,1.25
-0.416976,0.499849,-0.0122706,1.25
-0.419046,0.499849,0.0122706,1.25
-0.4173,0.5,0,1.25
-0.4173,0.5,0,1.25
0.0350092,0.981353,19.9759,1.25
0.0350092,0.981353,-19.9759,1.25
0.0342937,1.47129,19.9458,1.25
0.0350092,1.47129,-19.9458,1.25
0.0339359,1.96034,19.9037,1.25
0.0350092,1.96034,-19.9037,1.25
0.0332204,2.44821,19.8496,1.25
0.0350092,2.44821,-19.8496,1.25
0.0328627,2.93461,19.7835,1.25
0.0346515,2.93461,-19.7835,1.25
0.0328627,3.41924,19.7056,1.25
0.0339359,3.41924,-19.7056,1.25
0.0321472,3.9018,19.6157,1.25
0.0335782,3.9018,-19.6157,1.25
0.0314316,4.38202,19.514,1.25
0.0335782,4.38202,-19.514,1.25
0.0314316,4.8596,19.4006,1.25
0.0332204,4.8596,-19.4006,1.25
0.0307332,5.33426,19.2755,1.25
0.0325049,5.33426,-19.2755,1.25
0.0300176,5.80569,19.1388,1.25
0.0321472,5.80569,-19.1388,1.25
0.0300176,6.27363,18.9906,1.25
0.0314316,6.27363,-18.9906,1.25
0.0300176,6.7378,18.8309,1.25
0.0307332,6.7378,-18.8309,1.25
0.0293021,7.1979,18.6599,1.25
0.0303754,7.1979,-18.6599,1.25
0.0285866,7.65367,18.4776,1.25
0.0303754,7.65367,-18.4776,1.25
0.0278711,8.10483,18.2842,1.25
0.0300176,8.10483,-18.2842,1.25
0.0275133,8.5511,18.0798,1.25
0.0293021,8.5511,-18.0798,1.25
0.0275133,8.99223,17.8645,1.25
0.0285866,8.99223,-17.8645,1.25
0.0271556,9.42793,17.6384,1.25
0.0285866,9.42793,-17.6384,1.25
0.0264401,9.85796,17.4017,1.25
0.0278711,9.85796,-17.4017,1.25
0.0257245,10.2821,17.1546,1.25
0.0271556,10.2821,-17.1546,1.25
0.025009,10.7,16.8971,1.25
0.0264401,10.7,-16.8971,1.25
0.0242935,11.1114,16.6294,1.25
0.0257245,11.1114,-16.6294,1.25
0.023578,11.5162,16.3517,1.25
0.025009,11.5162,-16.3517,1.25
0.0228625,11.914,16.0641,1.25
0.0242935,11.914,-16.0641,1.25
0.022147,12.3046,15.7669,1.25
0.023578,12.3046,-15.7669,1.25
0.0214314,12.6879,15.4602,1.25
0.0225047,12.6879,-15.4602,1.25
0.0207159,13.0635,15.1442,1.25
0.0217892,13.0635,-15.1442,1.25
0.0200004,13.4312,14.819,1.25
0.0207159,13.4312,-14.819,1.25
0.0192849,13.7908,14.4849,1.25
0.0192849,13.7908,-14.4849,1.25
0.0171554,14.1421,14.1421,1.25
0.0171554,14.1421,-14.1421,1.25
0.0150088,14.4849,13.7908,1.25
0.0150088,14.4849,-13.7908,1.25
0.0135778,14.819,13.4312,1.25
0.0142933,14.819,-13.4312,1.25
0.0128623,15.1442,13.0635,1.25
0.0135778,15.1442,-13.0635,1.25
0.0121468,15.4602,12.6879,1.25
0.0128623,15.4602,-12.6879,1.25
0.0114312,15.7669,12.3046,1.25
0.0121468,15.7669,-12.3046,1.25
0.0114312,16.0641,11.914,1.25
0.0114312,16.0641,-11.914,1.25
0.0107157,16.3517,11.5162,1.25
0.0114312,16.3517,-11.5162,1.25
0.0100002,16.6294,11.1114,1.25
0.0107157,16.6294,-11.1114,1.25
0.0100002,16.8971,10.7,1.25
0.0100002,16.8971,-10.7,1.25
0.0100002,17.1546,10.2821,1.25
0.0100002,17.1546,-10.2821,1.25
0.0100002,17.4017,9.85796,1.25
0.0100002,17.4017,-9.85796,1.25
0.0100002,17.6384,9.42793,1.25
0.0100002,17.6384,-9.42793,1.25
0.00928468,17.8645,8.99223,1.25
0.0100002,17.8645,-8.99223,1.25
0.00856917,18.0798,8.5511,1.25
0.00928468,18.0798,-8.5511,1.25
0.00856917,18.2842,8.10483,1.25
0.00928468,18.2842,-8.10483,1.25
0.00856917,18.4776,7.65367,1.25
0.00928468,18.4776,-7.65367,1.25
0.00856917,18.6599,7.1979,1.25
0.00928468,18.6599,-7.1979,1.25
0.00856917,18.8309,6.7378,1.25
0.00928468,18.8309,-6.7378,1.25
0.00856917,18.9906,6.27363,1.25
0.00928468,18.9906,-6.27363,1.25
0.00856917,19.1388,5.80569,1.25
0.00928468,19.1388,-5.80569,1.25
0.00856917,19.2755,5.33426,1.25
0.00928468,19.2755,-5.33426,1.25
0.00856917,19.4006,4.8596,1.25
0.00928468,19.4006,-4.8596,1.25
0.00856917,19.514,4.38202,1.25
0.00928468,19.514,-4.38202,1.25
0.00856917,19.6157,3.90181,1.25
0.00928468,19.6157,-3.90181,1.25
0.00856917,19.7056,3.41924,1.25
0.00928468,19.7056,-3.41924,1.25
0.00856917,19.7835,2.93461,1.25
0.00856917,19.7835,-2.93461,1.25
0.00785365,19.8496,2.44821,1.25
0.00785365,19.8496,-2.44821,1.25
0.00713813,19.9037,1.96034,1.25
0.00715517,19.9037,-1.96034,1.25
0.00643965,19.9458,1.47129,1.25
0.00643965,19.9458,-1.47129,1.25
0.00500862,19.9759,0.981354,1.25
0.00500862,19.9759,-0.981354,1.25
0.0042931,19.994,-0.490825,1.25
0.0042931,19.994,0.490825,1.25
0.0042931,19.994,-0.490825,1.25
0.00500862,20,0,1.25
